Id,hate,offensive,neither,label,text
COM001,0,1,0,1,Kohmda whotto mewa balanne
COM002,0,0,0,0,Kauru mona kiwwath ashenta hoda gamanak thiyevi.
COM003,0,0,0,0,Lasanai vidio ekak Karan lassanata idapan
COM004,0,0,0,0,Taman hari pare giyot varadinne na kavuru monav kivat 
COM005,0,0,0,0,Honda kollek
COM006,0,1,0,1,Pissu huthtek
COM007,1,1,0,1,Ado hutto issara wage minissu andanna ba bn dan.pissuda umbata.pediapro beepan gihin
COM008,1,1,0,1,Api dnnw ashen kyne pnyek kyl
COM009,1,1,0,1,Ashen kry pcc
COM010,0,0,0,0,Oyata bari wenne na oya hoda ugath danumen pohsth jayawewa
COM011,0,0,0,0,Elakiri
COM012,0,0,0,0,Hodai machan uba ena eka habai tooragena tiyena thana tamai aula nattan apith denawa wena ekakin illuwanm oken illuwot denne na taraha wenna epa api aadarei ubata machan tiyena thana nati karaganna epa
COM013,0,1,0,1,haiyooo hminenw
COM014,0,1,0,1,Hemaniyan
COM015,0,0,0,0,Budu saranay.puthe. kurunegalath ennawa antha asrana daruwo..gihin balanna.b.s. mage puthata.
COM016,0,1,0,1,Congratulations htto
COM017,0,1,0,1,Mona huttek da ban meka
COM018,0,1,0,1,Bika! Paka!
COM019,1,0,0,0,Salli walata chande ganna EPA ballo.thopi wage kalakanni thamai me rata kanne.puluwnnm desapalane nokara minissunta udau karapan..gothayek novi
COM020,1,1,0,1,Muta chande dena hama ekagema puca palannna oni
COM021,0,1,0,1,Pala ponaya
COM022,1,1,0,1,Wadak bala idapan htto ubala wage gal goothayonta chande denna trac na
COM023,1,1,0,1,Munta thama chande na whotto moda pagaya
COM024,0,1,0,1,Ane uba nan enna epa pako
COM025,1,0,0,1,Mu minissunge duka wikunala maha bankuwa kadapu ekata kade yanawa pau minissu rawatenawa
COM026,0,1,0,1,RatAta tahikennA adare un.pAw bn.parliment yawamu..mewata hinA wenna ona ..dannawa athine
COM027,0,1,0,1,Whokapan
COM028,1,0,0,1,uba wage un hama thanama innawa gothaya
COM029,1,0,0,1,Ammai thattaida kivwe rajapakshalage kalu salli sudu karanna kiyala
COM030,1,0,0,1,ane nikan palayan yanna kenahilo me wage ewunta chande denna pissuda bn
COM031,1,0,0,1,Kalakanniya
COM032,1,1,0,1,Pissu huttek
COM033,1,1,0,1,Ganu bageta heluwen yawala ai blanne gaga haminunu whoththane tho wrenko chnde illagena whokanna
COM034,1,0,0,1,Mu ganja gahalada inna ban
COM035,0,1,0,1,Http
COM036,0,1,0,1,Pala hucknnooo
COM037,1,1,0,1,Pala pakayooooo
COM038,0,1,0,1,Pukkkkaaaaaaaa
COM039,0,0,0,0,Poddak famous unama hithanne parliment yanna.meyala minissunge duka market karan hamba karana minissu.manussayekta deyak dila video karala dala hamba kara gaththa.ehema unama api chande denna onada? Me serewath buddimathwa hithala me ratata wedak karanna puluwan ugath buddimath aya ta chande demu.
COM040,1,0,0,1,Moda weda karanna epa oyage video Kemeththen beluwa aye nam balanne na patta modayekne
COM041,1,0,0,1,"Amu gawayek hd, kellath e pawata karagahanna wela"
COM042,1,0,0,1,"Ayyoo puthe mokatada oya desapalanayata enne tiyena gruthwayath nati kra gnnada
Paduwe pinak dahamak kran hitiyanam hamadamath obe nama babalewi"
COM043,0,1,0,1,bice pca ne pca ne
COM044,0,1,0,1,Hitpn http math enawa
COM045,1,0,0,1,Me wage halparuwo nam ewanna epa bn.muu mechchara kal Mara drama ekak ne demme.
COM046,1,0,0,1,Porwal kiyla hithan inna Anith unwa posath karnna hadana thawath ambattek
COM047,0,0,0,0,Gobbayanta kauda bn chande denne
COM048,0,0,0,0,Pabata dunna wage meyatath denna lesthi wenna epa.mathakane dutugamunutath dunna
COM049,1,0,0,1,Minissunge duka vikunan kana ballek munta chande denne moda harak tamai
COM050,1,0,0,1,Higanno bo karaganna tharamata sape inna puluwan neda ban .mun kamathi na ratak diunuwela mun dakina lokaya ahinsaka minissu dakinawata.horuth ekka hitagaththa ekenma eka penawa.
COM051,0,1,0,1,Molda htto
COM052,0,0,0,0,Thiyena adareth nethi wena thena minissungen Parliament yanawata aiye oyata o inna widiya hodai
COM053,1,0,0,1,Mu enawa hriyan naa patta kapatiya
COM054,1,0,0,1,Dakkams kana palenna gahanna hithenne mata witharada hethuwak na
COM055,1,0,0,1,Gotha hipatuwa… uba pau bn
COM056,1,0,0,1,Gu kawanm hdai
COM057,1,1,0,1,Yako Bika kalu Puk Hodagena Perogena Nidagnin
COM058,1,1,0,1,"BIKA thama, meya dakkama meyage marsi apita therenawa, ranilge puka lewakaala apitath eka karahan kiyanna thama oya haminenna hadanne, Thuhh"
COM059,1,1,0,1,Htto ubata mole amaruwda
COM060,1,0,0,1,Wayasatawada kapatikamin wayasata giya ekek ahinsaka minissu vinasakaranda ena thawath ballek
